"Id","Type","Zone","LotArea","LotConfig","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtRating","BsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualSF","LivAreaSF","FullBath","HalfBath","Bedrooms","Kitchen","KitchenQual","TotRms","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PoolArea","MoSold","YrSold","SaleCondition","SalePrice"
1326,20,"RL",12637,"Inside","1Fam","1Story",6,5,2001,2001,"Gable","TA","TA","PConc","Gd","TA","No","ALQ",978,"Y",1128,0,0,1186,1,1,3,1,"Gd",5,"Typ",0,NA,"Detchd","Unf",2,586,"TA","TA",0,5,2006,"Abnorml",144777
1370,120,"RL",6260,"Inside","TwnhsE","1Story",8,5,2000,2000,"Gable","Gd","TA","PConc","Gd","Gd","Mn","GLQ",24,"Y",1401,0,0,1394,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,501,"TA","TA",0,10,2007,"Normal",171462
1414,60,"RL",9606,"Inside","1Fam","2Story",7,5,1997,1991,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",705,"Y",1092,958,0,2115,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd","RFn",2,654,"TA","TA",0,2,2008,"Normal",204719
1436,60,"RL",9757,"Inside","1Fam","2Story",8,5,2004,1997,"Gable","Gd","TA","PConc","Ex","TA","Av","Unf",0,"Y",1110,1290,0,2585,2,1,4,1,"Gd",9,"Typ",1,"Gd","Other","RFn",3,862,"TA","TA",0,10,2007,"Normal",337476
1480,20,"RL",11175,"Inside","1Fam","1Story",7,5,1999,1999,"Gable","Gd","TA","PConc","Gd","TA","Av","GLQ",984,"Y",1471,0,0,1411,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd","RFn",2,575,"TA","TA",0,6,2007,"Normal",230514
1700,50,"RM",8540,"Inside","1Fam","1.5Sto",5,5,1948,1995,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",339,"Y",1032,218,0,1305,1,0,2,1,"TA",6,"Min",0,NA,"Detchd","Unf",1,233,"TA","TA",0,1,2008,"Normal",141460
1744,50,"RM",10790,"Corner","1Fam","2Story",5,6,1910,1971,"Gable","TA","TA","PConc","TA","TA","No","Unf",0,"Y",666,550,0,1236,1,1,2,1,"TA",5,"Typ",0,NA,"Detchd","Unf",2,452,"TA","TA",0,5,2008,"Normal",132372
1766,60,"RL",12545,"Corner","1Fam","2Story",6,6,1958,1958,"Gable","TA","Gd","CBlock","Gd","TA","No","LwQ",458,"Y",1158,990,0,2158,2,1,4,1,"Gd",8,"Typ",1,"Gd","Attchd","Fin",1,499,"TA","TA",0,6,2009,"Normal",185905
1788,120,"RM",4536,"FR2","TwnhsE","1Story",6,5,1995,1995,"Hip","TA","Gd","PConc","Ex","Gd","No","GLQ",1207,"Y",1280,0,0,1302,2,0,2,1,"TA",5,"Typ",0,NA,"Attchd","Fin",2,390,"TA","TA",0,3,2006,"Normal",175965
1810,20,"RL",10035,"Inside","1Fam","1Story",8,5,2005,2005,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",31,"Y",1536,0,0,1605,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",3,731,"TA","TA",0,10,2007,"Normal",255759
1832,20,"RL",8538,"Inside","1Fam","1Story",5,5,1959,1959,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",1053,0,0,1070,1,1,3,1,"TA",6,"Typ",0,NA,"Detchd","Unf",2,468,"TA","TA",0,7,2007,"Normal",127579
1854,80,"RL",8565,"Inside","1Fam","2.5Sto",7,5,1995,1989,"Gable","TA","TA","PConc","Gd","TA","No","Unf",0,"Y",765,665,0,1412,2,1,3,1,"TA",7,"Typ",1,"TA","Other","Fin",2,405,"TA","TA",0,5,2008,"Normal",190817
1898,60,"RL",12085,"Inside","1Fam","2Story",6,5,2001,2001,"Gable","Gd","TA","PConc","Gd","TA","Av","Unf",0,"Y",692,836,0,1597,2,1,3,1,"Gd",6,"Typ",1,"Gd","Other","Fin",2,415,"TA","TA",0,3,2008,"Normal",156212
1920,160,"FV",3801,"Corner","TwnhsE","2Story",6,5,1999,1999,"Gable","Gd","TA","PConc","Gd","TA","Av","Unf",0,"Y",600,621,0,1214,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd","RFn",2,523,"TA","TA",0,6,2008,"Abnorml",160891
1986,20,"RL",7416,"Inside","1Fam","1Story",4,5,1943,1943,"Gable","TA","TA","BrkTil",NA,NA,NA,NA,0,"Y",1087,0,0,1044,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd","Unf",2,415,"TA","TA",0,7,2006,"Normal",92060
2052,190,"C",7326,"Corner","Duplex","2.5Sto",6,6,1910,1988,"Hip","TA","TA","BrkTil","TA","Fa","Mn","LwQ",1065,"N",1308,1017,0,2371,2,0,4,2,"TA",9,"Typ",1,"Gd","Detchd","Unf",2,514,"TA","TA",0,11,2007,"Normal",125274
2338,30,"RM",11004,"Inside","1Fam","1Story",4,7,1885,1992,"Hip","TA","TA","BrkTil","Fa","TA","No","Unf",0,"Y",1006,0,0,1093,1,0,2,1,"TA",6,"Typ",0,NA,"Detchd","Unf",1,271,"Fa","Fa",0,8,2007,"Normal",123422
2360,20,"RM",5771,"Inside","1Fam","1Story",5,5,1948,1947,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",107,"Y",817,0,0,828,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd","Unf",1,240,"TA","TA",0,4,2007,"Abnorml",93095
2448,80,"RL",7841,"Inside","1Fam","2.5Sto",7,5,1999,1999,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",243,"Y",789,630,0,1432,2,1,3,1,"TA",7,"Typ",1,"TA","Other","Fin",2,381,"TA","TA",0,4,2010,"Normal",157606
2690,20,"RL",9622,"Corner","1Fam","1Story",6,7,1955,1955,"Hip","TA","Gd","CBlock","TA","TA","No","BLQ",579,"Y",1046,0,0,1070,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd","Unf",1,300,"TA","TA",0,6,2008,"Normal",120300
2712,120,"RL",8241,"Inside","TwnhsE","1Story",6,5,1992,1992,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",307,"Y",1222,0,0,1258,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd","RFn",2,513,"TA","TA",0,3,2007,"Normal",158496
2800,45,"RM",4470,"Inside","1Fam","1.5Sto",5,7,1930,1941,"Gable","TA","Gd","BrkTil","TA","TA","No","LwQ",112,"Y",847,0,0,837,1,0,3,1,"TA",5,"Typ",1,"TA",NA,NA,0,0,NA,NA,0,6,2006,"Normal",74053
2822,60,"RL",7857,"Inside","1Fam","2Story",6,5,1965,1965,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",524,"Y",652,706,0,1384,1,1,3,1,"TA",6,"Typ",1,"Fa","Attchd","RFn",2,463,"TA","TA",0,7,2006,"Normal",173653
2866,60,"RL",14741,"Corner","1Fam","2Story",7,6,1960,1960,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",434,"Y",1242,961,0,2129,2,1,4,1,"Gd",8,"Typ",2,"Gd","Attchd","Fin",2,473,"TA","TA",0,5,2006,"Normal",264960
2976,20,"RL",10734,"Inside","1Fam","1Story",7,6,1964,1964,"Hip","TA","TA","PConc","TA","TA","No","Unf",0,"Y",1700,0,0,1730,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd","Unf",2,525,"TA","TA",0,5,2008,"Normal",168553
3064,60,"RL",15905,"Inside","1Fam","2Story",6,5,1988,1988,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",816,"Y",955,826,0,1756,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd","RFn",2,464,"TA","TA",0,8,2008,"Normal",210707
3196,160,"RM",2449,"Inside","Twnhs","2Story",6,5,2004,2001,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1010,718,0,1734,2,0,3,1,"Gd",7,"Maj",0,NA,"Detchd","Unf",2,389,"TA","TA",0,4,2006,"Normal",99170
3218,30,"RM",6004,"Corner","1Fam","1Story",5,7,1931,1989,"Gable","TA","TA","BrkTil","TA","TA","No","BLQ",207,"Y",835,0,0,861,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd","Unf",1,178,"Fa","TA",0,11,2008,"Normal",86769
3350,60,"RL",14797,"CulDSac","1Fam","2Story",6,5,1962,1962,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",402,"Y",1059,939,0,2044,2,1,4,1,"TA",8,"Typ",1,"Gd","Attchd","RFn",2,490,"TA","TA",0,6,2006,"Normal",219597
3394,30,"RM",11407,"Corner","1Fam","1Story",6,5,1923,1949,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"Y",1216,0,0,1165,1,0,4,1,"TA",7,"Typ",0,NA,"Detchd","Unf",1,324,"Fa","Fa",0,3,2006,"Family",97976
3438,20,"RL",7548,"Inside","1Fam","1Story",5,7,1949,1949,"Hip","TA","TA","CBlock",NA,NA,NA,NA,0,"Y",1088,0,0,1019,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd","Unf",2,651,"TA","TA",0,6,2006,"Normal",89410
3592,45,"RL",5649,"Inside","1Fam","1.5Sto",4,6,1955,1955,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",840,0,0,899,1,0,1,1,"TA",4,"Typ",0,NA,NA,NA,0,0,NA,NA,0,4,2007,"Normal",82433
3658,20,"RL",10323,"Inside","1Fam","1Story",5,5,1955,1986,"Hip","Gd","TA","CBlock","TA","TA","No","LwQ",365,"Y",1784,0,0,1827,1,0,2,1,"TA",7,"Typ",3,"Gd","Attchd","Fin",1,316,"TA","TA",0,11,2009,"Normal",209252
3702,60,"RL",8575,"Inside","1Fam","2Story",7,5,1999,1999,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",861,843,0,1749,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd","Fin",2,448,"TA","TA",0,5,2006,"Normal",164527
3746,50,"RM",12448,"Inside","1Fam","1.5Sto",5,6,1941,1942,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",342,"Y",838,0,537,1378,1,1,2,1,"TA",7,"Typ",0,NA,"Detchd","Unf",2,629,"TA","TA",0,5,2007,"Normal",152336
3768,20,"RL",31816,"Corner","1Fam","1Story",6,5,1953,1953,"Hip","TA","TA","CBlock","TA","Gd","Gd","BLQ",623,"Y",1653,0,0,1580,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd","Fin",2,506,"TA","TA",0,5,2009,"Normal",239008
3790,160,"RL",5300,"Inside","TwnhsE","2Story",7,7,1982,1982,"Gable","Gd","Gd","PConc","Gd","Gd","No","GLQ",487,"Y",1061,715,0,1700,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd","RFn",2,507,"Gd","TA",0,6,2005,"Normal",286884
3834,20,"RL",12744,"Inside","1Fam","1Story",6,5,1977,1977,"Gable","TA","TA","CBlock","Gd","Fa","No","ALQ",1367,"Y",1695,0,0,1669,2,0,3,1,"TA",7,"Min",1,"TA","Attchd","Fin",2,624,"TA","TA",0,11,2008,"Normal",153641
4120,50,"RL",10426,"Inside","1Fam","1.5Sto",5,7,1916,1983,"Gable","TA","TA","CBlock","Fa","TA","No","Unf",0,"Y",794,670,148,1588,2,1,3,1,"TA",8,"Min",0,NA,"Detchd","Unf",1,179,"Fa","Fa",0,8,2009,"Normal",168435
4142,90,"RL",7102,"Inside","Duplex","2.5Sto",5,5,1969,1969,"Gable","TA","TA","CBlock","Gd","TA","Av","GLQ",1090,"Y",1272,0,0,1227,0,2,2,2,"TA",6,"Typ",2,"TA","Detchd","Unf",2,533,"TA","TA",0,6,2008,"Abnorml",170072
4164,120,"RL",4906,"Inside","TwnhsE","1Story",8,5,2001,2000,"Gable","Gd","TA","PConc","Ex","TA","Av","GLQ",1126,"Y",1531,0,0,1646,1,1,0,1,"Ex",5,"Typ",1,"Gd","Attchd","Fin",2,681,"TA","TA",0,8,2008,"Normal",238124
4252,160,"RM",2417,"Inside","Twnhs","2Story",7,5,2001,2001,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",943,736,0,1728,2,0,3,1,"Gd",7,"Maj",0,NA,"Detchd","Unf",2,370,"TA","TA",0,5,2006,"Normal",119419
4340,75,"RL",25645,"Corner","1Fam","2Story",8,4,1918,1985,"Gable","Gd","Gd","PConc","TA","TA","No","GLQ",1038,"Y",1360,1365,382,2987,2,0,4,1,"Gd",8,"Typ",1,"Ex","Detchd","Unf",2,768,"TA","TA",499,3,2006,"Abnorml",220179
4406,20,"RM",8870,"Corner","1Fam","1Story",4,5,2003,1997,"Gable","TA","TA","PConc","Gd","TA","No","Unf",0,"Y",1094,0,0,1130,2,0,2,1,"TA",5,"Typ",0,NA,"Attchd","RFn",2,429,"TA","TA",0,3,2009,"Normal",114057
4516,20,"RL",12032,"Corner","1Fam","1Story",7,5,1987,1987,"Gable","TA","TA","PConc","Gd","TA","No","Unf",0,"Y",1476,0,0,1387,2,0,3,1,"TA",5,"Typ",0,NA,"Attchd","RFn",2,503,"TA","TA",0,5,2008,"Normal",169017
4538,20,"RL",13403,"CulDSac","1Fam","1Story",5,5,1953,1953,"Gable","TA","Gd","CBlock","TA","TA","No","Unf",0,"Y",1761,0,0,1681,1,1,3,1,"TA",8,"Min",1,"TA","Attchd","RFn",1,346,"TA","TA",0,3,2006,"Normal",168583
4670,60,"FV",8585,"Inside","1Fam","2Story",7,5,2003,2003,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",816,"Y",935,953,0,1809,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd","RFn",2,666,"TA","TA",0,7,2008,"Abnorml",313355
4736,20,"RL",10058,"Inside","1Fam","1Story",5,6,1957,1995,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",350,"Y",1182,0,0,1272,1,0,2,1,"Gd",6,"Min",1,"Fa","Attchd","Unf",1,463,"TA","TA",0,5,2005,"Normal",162798
4758,20,"RL",8306,"Inside","1Fam","1Story",7,5,1994,1994,"Gable","Gd","TA","PConc","Gd","TA","Mn","GLQ",955,"Y",1390,0,0,1493,2,0,3,1,"Gd",8,"Typ",0,NA,"Attchd","Unf",2,470,"TA","TA",0,4,2008,"Normal",184291
4868,60,"RL",8284,"Inside","1Fam","2Story",6,5,1997,1997,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1054,1247,0,2311,2,1,4,1,"Gd",8,"Typ",1,"TA","Other","RFn",2,402,"TA","TA",0,12,2008,"Normal",150225
4956,160,"RM",1655,"Inside","Twnhs","2Story",5,5,1968,1968,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",603,658,0,1265,2,1,3,1,"TA",6,"Typ",0,NA,"Detchd","Unf",1,285,"TA","TA",0,5,2009,"Abnorml",120318
5022,20,"RL",8773,"FR2","1Fam","1Story",5,5,1963,1963,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",882,"Y",939,0,0,926,1,0,3,1,"TA",5,"Typ",1,"Fa","Detchd","Unf",1,331,"TA","TA",0,5,2009,"Normal",111736
5044,120,"RL",3122,"Inside","TwnhsE","1Story",7,5,2005,2003,"Gable","Gd","TA","PConc","Gd","TA","Av","GLQ",15,"Y",1628,0,0,1514,2,0,2,1,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,436,"TA","TA",0,5,2009,"Normal",216550
5110,160,"RM",1712,"Inside","Twnhs","2Story",6,5,1964,1964,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",468,509,0,1023,1,1,2,1,"TA",5,"Typ",1,"Po","Attchd","Unf",1,284,"TA","TA",0,6,2005,"Normal",90784
5220,60,"RL",9228,"CulDSac","1Fam","2Story",7,7,1993,1994,"Gable","Gd","TA","PConc","Gd","TA","No","BLQ",398,"Y",1002,726,0,1676,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd","RFn",2,446,"TA","TA",0,2,2009,"Normal",236230
5242,20,"RL",11752,"Inside","1Fam","1Story",8,5,2001,2001,"Hip","Ex","TA","PConc","Ex","TA","No","Unf",0,"Y",1698,0,0,1710,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd","Fin",3,814,"TA","TA",0,12,2006,"Abnorml",284907
5352,160,"RL",10541,"Corner","TwnhsE","2Story",6,6,1979,1979,"Gable","TA","TA","CBlock","Gd","TA","No","Unf",0,"Y",611,582,0,1243,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd","RFn",1,274,"TA","TA",0,4,2009,"Normal",122818
5440,20,"RL",11780,"Inside","1Fam","1Story",6,5,1953,1953,"Hip","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",1434,0,0,1410,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd","Unf",2,458,"TA","TA",0,6,2005,"Normal",106367
5484,50,"RL",165365,"CulDSac","1Fam","1.5Sto",6,7,1958,2000,"Gable","Gd","TA","CBlock","Gd","TA","Gd","LwQ",684,"Y",1441,679,0,2190,2,0,4,1,"Gd",7,"Typ",2,"TA","Attchd","Fin",2,388,"TA","TA",0,6,2006,"Normal",309702
5572,80,"RL",9645,"Inside","1Fam","2.5Sto",6,7,1964,1982,"Hip","TA","TA","CBlock","Gd","TA","Gd","LwQ",275,"Y",1361,0,0,1311,2,0,3,1,"Gd",7,"Min",0,NA,"Attchd","RFn",1,299,"TA","TA",0,10,2007,"Normal",171669
5660,20,"RL",8999,"Inside","1Fam","1Story",7,5,1997,1997,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",1381,"Y",1643,0,0,1682,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","RFn",2,676,"TA","TA",0,3,2009,"Abnorml",273733
5726,80,"RL",19978,"Corner","1Fam","2.5Sto",6,5,1954,1954,"Gable","TA","TA","CBlock","TA","TA","Gd","LwQ",683,"Y",1417,0,0,1364,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,870,"TA","TA",0,5,2009,"Normal",167663
5770,80,"RL",8848,"Corner","1Fam","2.5Sto",6,7,1977,1985,"Gable","TA","TA","CBlock","Gd","Gd","Av","ALQ",510,"Y",1182,0,0,1153,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,468,"TA","TA",0,7,2006,"Normal",169453
5792,50,"RM",5418,"Corner","1Fam","1.5Sto",5,7,1929,1997,"Gable","TA","TA","BrkTil","TA","TA","No","LwQ",225,"Y",906,0,378,1295,1,0,3,1,"TA",6,"Typ",0,NA,"Detchd","Unf",2,496,"TA","TA",0,4,2009,"Normal",120485
5814,30,"RM",5180,"Inside","1Fam","1Story",5,5,1925,2003,"Gable","TA","TA","BrkTil","Fa","TA","No","Unf",0,"N",764,0,0,773,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd","Unf",2,489,"TA","TA",0,6,2008,"Normal",81138
5836,20,"RL",12188,"Inside","1Fam","1Story",6,6,1972,1972,"Gable","TA","Gd","CBlock","Gd","TA","No","GLQ",604,"Y",1468,0,0,1467,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,591,"TA","TA",0,6,2008,"Normal",169886
5946,60,"FV",11192,"Inside","1Fam","2Story",8,5,2004,2004,"Gable","Gd","TA","PConc","Gd","TA","Mn","Unf",0,"Y",1044,820,0,1955,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","RFn",3,1002,"TA","TA",0,8,2006,"Abnorml",270197
6034,20,"RL",7953,"Corner","1Fam","1Story",5,7,1979,1979,"Gable","TA","TA","CBlock","TA","TA","Gd","ALQ",570,"Y",785,0,0,812,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd","Unf",1,276,"TA","TA",0,6,2007,"Normal",99969
6078,20,"RL",8945,"Inside","1Fam","1Story",7,5,1998,1998,"Gable","Gd","TA","PConc","Ex","TA","No","Unf",0,"Y",1486,0,0,1578,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd","Fin",2,584,"TA","TA",0,4,2010,"Normal",153758
6188,20,"FV",6998,"Inside","1Fam","1Story",6,5,1996,1996,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",920,"Y",1306,0,0,1311,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd","Fin",2,587,"TA","TA",0,5,2005,"Abnorml",162775
6298,50,"RL",10230,"Inside","1Fam","1.5Sto",6,7,1962,1972,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",604,"Y",1095,650,0,1702,1,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,450,"TA","TA",0,6,2005,"Normal",159336
6320,20,"RL",7814,"Corner","1Fam","1Story",4,4,1964,1964,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",617,"Y",852,0,0,871,1,0,3,1,"TA",5,"Typ",0,NA,NA,NA,0,0,NA,NA,0,6,2005,"Normal",79141
6364,70,"RL",9102,"Inside","1Fam","2Story",6,7,1915,2002,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"Y",729,709,0,1342,1,0,3,1,"TA",7,"Typ",0,NA,"Detchd","Unf",1,367,"TA","TA",0,7,2006,"Normal",138978
6584,20,"RL",14088,"Inside","1Fam","1Story",6,8,1950,2001,"Gable","TA","Gd","CBlock","TA","TA","No","Unf",0,"Y",1135,0,0,1108,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,302,"TA","TA",0,8,2008,"Family",197245
6628,60,"RL",15929,"Inside","1Fam","2Story",8,5,1998,1996,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",269,"Y",1169,1196,0,2335,2,1,4,1,"Gd",9,"Typ",1,"TA","Other","Fin",2,657,"TA","TA",0,5,2007,"Normal",270580
6716,20,"RL",10516,"Inside","1Fam","1Story",8,5,2004,1998,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",1451,"Y",2095,0,0,1912,2,0,3,1,"Gd",8,"Typ",0,NA,"Attchd","Fin",3,872,"TA","TA",0,7,2006,"Normal",277226
6738,60,"RL",13986,"Inside","1Fam","2Story",7,5,1990,1986,"Gable","Gd","TA","CBlock","Gd","TA","No","ALQ",709,"Y",1071,1140,0,2158,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd","RFn",3,749,"TA","TA",0,6,2006,"Normal",185634
7156,45,"RM",5185,"Inside","1Fam","1.5Sto",5,6,1941,1941,"Gable","TA","TA","CBlock","TA","TA","Av","BLQ",121,"N",817,0,0,843,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd","Unf",2,353,"TA","TA",0,12,2007,"Normal",105197
